Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
228.8800048828125,230.16000366210938,225.7100067138672,228.52000427246094,42108300,0.0,0.0,
228.05999755859375,230.72000122070312,228.05999755859375,229.8699951171875,38168300,0.0,0.0,
231.4600067138672,233.25,229.74000549316406,232.8699951171875,90152800,0.0,0.0,
233.3300018310547,235.57000732421875,233.3300018310547,235.05999755859375,45986200,0.0,0.0,
234.47000122070312,235.69000244140625,233.80999755859375,234.92999267578125,33498400,0.0,0.0,232.2499969482422
234.80999755859375,237.80999755859375,233.97000122070312,237.3300018310547,28481400,0.0,0.0,234.01199645996093
237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062,48137100,0.0,0.0,235.95599670410155
239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438,38861000,0.0,0.0,237.91199645996093
242.8699951171875,244.11000061035156,241.25,243.00999450683594,44383900,0.0,0.0,239.5019958496094
243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328,40033900,0.0,0.0,241.12399597167968
242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062,36870600,0.0,0.0,242.2259948730469
241.8300018310547,247.24000549316406,241.75,246.75,44649200,0.0,0.0,243.65799560546876
246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094,36914800,0.0,0.0,244.68199768066407
247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406,45205800,0.0,0.0,245.37799987792968
246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672,32777500,0.0,0.0,246.36200256347655
247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125,33155300,0.0,0.0,247.42000427246094
247.99000549316406,251.3800048828125,247.64999389648438,251.0399932861328,51694800,0.0,0.0,248.2780029296875
250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753906,51356400,0.0,0.0,249.4200012207031
252.16000366210938,254.27999877929688,247.74000549316406,248.0500030517578,56774100,0.0,0.0,249.73200073242188
247.5,252.0,247.08999633789062,249.7899932861328,60882300,0.0,0.0,250.097998046875
248.0399932861328,255.0,245.69000244140625,254.49000549316406,146890100,0.0,0.0,251.3699981689453
